date,ticker,asset_class,sector,return
2020-10-20,BA,Equity,Industrials,0.0007779599206372279
2020-10-20,CAT,Equity,Industrials,0.008714890864236713
2020-10-20,CCI,Equity,RealEstate,0.0008516794551067797
2020-10-20,CMCSA,Equity,Comm,-0.0013535159863139468
2020-10-20,COP,Equity,Energy,-0.003669848620162397
2020-10-20,CVX,Equity,Energy,0.005611791723033166
2020-10-20,D,Equity,Utilities,0.002224920536393782
2020-10-20,DD,Equity,Materials,0.017796029164033333
2020-10-20,DIS,Equity,Consumer,0.005795665696950891
2020-10-20,DOW,Equity,Materials,0.01023723865462478
2020-10-20,DUK,Equity,Utilities,-0.00010843694308904084
2020-10-20,EA,Equity,Comm,-0.01932687516132514
2020-10-20,GE,Equity,Industrials,0.006858914947667438
2020-10-20,GILD,Equity,Healthcare,-0.0003301577189966931
2020-10-20,GS,Equity,Financials,0.011376249836317909
2020-10-20,INTC,Equity,Tech,-0.021070022108474085
2020-10-20,KO,Equity,Consumer,0.012696413198437284
2020-10-20,MMM,Equity,Industrials,0.008257081751382733
2020-10-20,MRK,Equity,Healthcare,-0.005084527233972902
2020-10-20,MS,Equity,Financials,0.01020619353370722
2020-10-20,NEE,Equity,Utilities,0.004807062201844126
2020-10-20,NEM,Equity,Materials,-0.008426499595618808
2020-10-20,NKE,Equity,Consumer,0.008318233748701997
2020-10-20,NUE,Equity,Materials,-0.009393400341093594
2020-10-20,NVDA,Equity,Tech,0.01094613454711535
2020-10-20,O,Equity,RealEstate,0.005957228930751901
2020-10-20,OXY,Equity,Energy,0.02545866639549499
2020-10-20,PLD,Equity,RealEstate,0.004950533535044821
2020-10-20,PSA,Equity,RealEstate,0.008348280839426625
2020-10-20,QCOM,Equity,Tech,-0.0009345093034086593
2020-10-20,SBUX,Equity,Consumer,0.010387956640606655
2020-10-20,SHW,Equity,Materials,-0.010119819419408982
2020-10-20,SLB,Equity,Energy,0.03197886241654224
2020-10-20,SO,Equity,Utilities,0.009648515285707981
2020-10-20,T,Equity,Comm,-0.004464198096454819
2020-10-20,TMUS,Equity,Comm,0.002838075310994892
2020-10-20,TTWO,Equity,Comm,-0.006584887004946638
2020-10-20,UPS,Equity,Industrials,0.016153551332449112
2020-10-20,USB,Equity,Financials,0.006158617034096148
2020-10-20,V,Equity,Financials,0.0037060490828342285
2020-10-20,WFC,Equity,Financials,0.011978812344921819
2020-10-20,WMT,Equity,Consumer,0.006645762027290614
2020-10-20,XOM,Equity,Energy,0.008378012515268596
2020-10-21,ADA-USD,Crypto,Crypto,0.03603137190590178
2020-10-21,BCH-USD,Crypto,Crypto,0.06452264342739111
2020-10-21,BTC-USD,Crypto,Crypto,0.07614375520341321
2020-10-21,EOS-USD,Crypto,Crypto,0.03311390124607594
2020-10-21,ETC-USD,Crypto,Crypto,0.0533340505346267
2020-10-21,ETH-USD,Crypto,Crypto,0.06245127472350509
2020-10-21,LTC-USD,Crypto,Crypto,0.1273999940814705
2020-10-21,TRX-USD,Crypto,Crypto,0.02725668857320329
2020-10-21,XLM-USD,Crypto,Crypto,0.03552263463922167
2020-10-21,XRP-USD,Crypto,Crypto,0.03301676682731647
2020-10-21,ABBV,Equity,Healthcare,-0.016142689297609203
2020-10-21,ABT,Equity,Healthcare,-0.022425380384422877
2020-10-21,ADBE,Equity,Tech,0.002790256217961362
2020-10-21,AEP,Equity,Utilities,-0.0030880109492580354
2020-10-21,AMD,Equity,Tech,-0.02893576116963603
2020-10-21,AMGN,Equity,Healthcare,-0.009216716094041733
2020-10-21,AMT,Equity,RealEstate,-0.008449477856871335
2020-10-21,BA,Equity,Industrials,-0.02021050449529349
2020-10-21,CAT,Equity,Industrials,-0.00940883504238732
2020-10-21,CCI,Equity,RealEstate,-0.004074012876109312
2020-10-21,CMCSA,Equity,Comm,0.005647329712861859
2020-10-21,COP,Equity,Energy,-0.05954563943831803
2020-10-21,CVX,Equity,Energy,-0.011300266728954012
2020-10-21,D,Equity,Utilities,-0.01048327831624929
2020-10-21,DD,Equity,Materials,-0.013786224745589104
2020-10-21,DIS,Equity,Consumer,0.013445399684012704
2020-10-21,DOW,Equity,Materials,-0.016011086925627027
2020-10-21,DUK,Equity,Utilities,0.004888270905067049
2020-10-21,EA,Equity,Comm,0.0022769523985652906
2020-10-21,GE,Equity,Industrials,-0.0027250473616781123
2020-10-21,GILD,Equity,Healthcare,-0.005615155999027066
2020-10-21,GS,Equity,Financials,-0.024611659111150708
2020-10-21,INTC,Equity,Tech,0.0013099545648540545
2020-10-21,KO,Equity,Consumer,-0.0051736309218732845
2020-10-21,MMM,Equity,Industrials,-0.010412670991478246
2020-10-21,MRK,Equity,Healthcare,-0.0025552254932704743
2020-10-21,MS,Equity,Financials,-0.021177501787346675
2020-10-21,NEE,Equity,Utilities,-0.010996692515730877
2020-10-21,NEM,Equity,Materials,0.004739395263557267
2020-10-21,NKE,Equity,Consumer,0.007315712852105971
