date,universe,method,fund,return,periods_per_year
2022-02-04,Equity,Equal Weight,Equity Equal Weight,-0.0009650934505631595,252
2022-02-07,Equity,Equal Weight,Equity Equal Weight,0.0023266470700742488,252
2022-02-08,Equity,Equal Weight,Equity Equal Weight,0.004025120961881327,252
2022-02-09,Equity,Equal Weight,Equity Equal Weight,0.012606793313618202,252
2022-02-10,Equity,Equal Weight,Equity Equal Weight,-0.016922118858680186,252
2022-02-11,Equity,Equal Weight,Equity Equal Weight,-0.010206802133622503,252
2022-02-14,Equity,Equal Weight,Equity Equal Weight,-0.00634100905569615,252
2022-02-15,Equity,Equal Weight,Equity Equal Weight,0.010470141652055797,252
2022-02-16,Equity,Equal Weight,Equity Equal Weight,-0.0004521061122067474,252
2022-02-17,Equity,Equal Weight,Equity Equal Weight,-0.015235853249305863,252
2022-02-18,Equity,Equal Weight,Equity Equal Weight,-0.008409016441980765,252
2022-02-22,Equity,Equal Weight,Equity Equal Weight,-0.006636163123505222,252
2022-02-23,Equity,Equal Weight,Equity Equal Weight,-0.011444759515712766,252
2022-02-24,Equity,Equal Weight,Equity Equal Weight,0.0066461620133129295,252
2022-02-25,Equity,Equal Weight,Equity Equal Weight,0.02542752148262096,252
2022-02-28,Equity,Equal Weight,Equity Equal Weight,-0.002195598379704531,252
2022-03-01,Equity,Equal Weight,Equity Equal Weight,-0.012896231197349313,252
2022-03-02,Equity,Equal Weight,Equity Equal Weight,0.01978061939202785,252
2022-03-03,Equity,Equal Weight,Equity Equal Weight,-0.0008418490610408492,252
2022-03-04,Equity,Equal Weight,Equity Equal Weight,0.001816968692633778,252
2022-03-07,Equity,Equal Weight,Equity Equal Weight,-0.01776749892036473,252
2022-03-08,Equity,Equal Weight,Equity Equal Weight,-0.0044516636473597914,252
2022-03-09,Equity,Equal Weight,Equity Equal Weight,0.015019626125899074,252
2022-03-10,Equity,Equal Weight,Equity Equal Weight,-0.0008810613935192377,252
2022-03-11,Equity,Equal Weight,Equity Equal Weight,-0.008321164119682884,252
2022-03-14,Equity,Equal Weight,Equity Equal Weight,-0.009521426509802988,252
2022-03-15,Equity,Equal Weight,Equity Equal Weight,0.009821014009503299,252
2022-03-16,Equity,Equal Weight,Equity Equal Weight,0.015830145929724593,252
2022-03-17,Equity,Equal Weight,Equity Equal Weight,0.01456936661752879,252
2022-03-18,Equity,Equal Weight,Equity Equal Weight,0.004900691902451894,252
2022-03-21,Equity,Equal Weight,Equity Equal Weight,0.0036164035562298476,252
2022-03-22,Equity,Equal Weight,Equity Equal Weight,0.0055469342443239394,252
2022-03-23,Equity,Equal Weight,Equity Equal Weight,-0.009675333619606636,252
2022-03-24,Equity,Equal Weight,Equity Equal Weight,0.010775713212324893,252
2022-03-25,Equity,Equal Weight,Equity Equal Weight,0.009012400337871582,252
2022-03-28,Equity,Equal Weight,Equity Equal Weight,0.0008465485017869987,252
2022-03-29,Equity,Equal Weight,Equity Equal Weight,0.012421936723784475,252
2022-03-30,Equity,Equal Weight,Equity Equal Weight,-0.004279865159334702,252
2022-03-31,Equity,Equal Weight,Equity Equal Weight,-0.01461285970420726,252
2022-04-01,Equity,Equal Weight,Equity Equal Weight,0.006186125023239844,252
2022-04-04,Equity,Equal Weight,Equity Equal Weight,0.0023851263573864533,252
2022-04-05,Equity,Equal Weight,Equity Equal Weight,-0.010698340505611343,252
