fund,universe,method,latest_rebalance_date,ticker,weight
Combined Risk Parity,Combined,Risk Parity,2023-12-01,DIS,0.015380157322346386
Combined Risk Parity,Combined,Risk Parity,2023-12-01,ADBE,0.0149953105445695
Combined Risk Parity,Combined,Risk Parity,2023-12-01,CVX,0.014486395787456623
Combined Risk Parity,Combined,Risk Parity,2023-12-01,DD,0.014253992880742628
Combined Risk Parity,Combined,Risk Parity,2023-12-01,INTC,0.014188093755170864
Combined Risk Parity,Combined,Risk Parity,2023-12-01,GS,0.01413350594223114
Combined Risk Parity,Combined,Risk Parity,2023-12-01,GE,0.013856250144937457
Combined Risk Parity,Combined,Risk Parity,2023-12-01,QCOM,0.013574086721419269
Combined Risk Parity,Combined,Risk Parity,2023-12-01,USB,0.013406474201236243
Combined Risk Parity,Combined,Risk Parity,2023-12-01,NUE,0.013378083623493745
Combined Risk Parity,Combined,Risk Parity,2023-12-01,DOW,0.013280056196820648
Combined Risk Parity,Combined,Risk Parity,2023-12-01,WFC,0.012947653264717002
Combined Risk Parity,Combined,Risk Parity,2023-12-01,COP,0.012743141779875641
Combined Risk Parity,Combined,Risk Parity,2023-12-01,MS,0.012663876333289194
Combined Risk Parity,Combined,Risk Parity,2023-12-01,SLB,0.012300887532076886
Combined Risk Parity,Combined,Risk Parity,2023-12-01,AMD,0.01229725578722768
Combined Risk Parity,Combined,Risk Parity,2023-12-01,NVDA,0.01132004340829335
Combined Risk Parity,Combined,Risk Parity,2023-12-01,BTC-USD,0.010956768210616686
Combined Risk Parity,Combined,Risk Parity,2023-12-01,BA,0.010769146184198558
Combined Risk Parity,Combined,Risk Parity,2023-12-01,OXY,0.010439401826800422
Combined Risk Parity,Combined,Risk Parity,2023-12-01,TRX-USD,0.010048329596938025
Combined Risk Parity,Combined,Risk Parity,2023-12-01,ETH-USD,0.008472520612640403
Combined Risk Parity,Combined,Risk Parity,2023-12-01,XRP-USD,0.008432545262766577
Combined Risk Parity,Combined,Risk Parity,2023-12-01,LTC-USD,0.008431089492792487
Combined Risk Parity,Combined,Risk Parity,2023-12-01,BCH-USD,0.008211872616556882
Combined Risk Parity,Combined,Risk Parity,2023-12-01,EOS-USD,0.008046117539335635
Combined Risk Parity,Combined,Risk Parity,2023-12-01,XLM-USD,0.007997382729366148
Combined Risk Parity,Combined,Risk Parity,2023-12-01,ADA-USD,0.007738838071439129
Combined Risk Parity,Combined,Risk Parity,2023-12-01,ETC-USD,0.007675325951288298
Combined Tangency,Combined,Tangency,2023-12-01,NVDA,0.3224312474904885
Combined Tangency,Combined,Tangency,2023-12-01,ABBV,0.31941097141894453
Combined Tangency,Combined,Tangency,2023-12-01,NUE,0.18401647223831402
Combined Tangency,Combined,Tangency,2023-12-01,BTC-USD,0.070244291236934
Combined Tangency,Combined,Tangency,2023-12-01,TRX-USD,0.06656864033501551
Combined Tangency,Combined,Tangency,2023-12-01,ETC-USD,0.016690855409277405
Combined Tangency,Combined,Tangency,2023-12-01,XRP-USD,0.01564744791155395
Combined Tangency,Combined,Tangency,2023-12-01,ETH-USD,0.004990073959471825
Combined Tangency,Combined,Tangency,2023-12-01,GILD,8.445934923662073e-17
Combined Tangency,Combined,Tangency,2023-12-01,TMUS,8.001374028512582e-17
Combined Tangency,Combined,Tangency,2023-12-01,EA,5.4139898511783885e-17
Combined Tangency,Combined,Tangency,2023-12-01,AMD,3.241689154650011e-17
Combined Tangency,Combined,Tangency,2023-12-01,AEP,2.154172966846388e-17
Combined Tangency,Combined,Tangency,2023-12-01,CMCSA,1.8710204394031032e-17
Combined Tangency,Combined,Tangency,2023-12-01,DUK,1.680173329562882e-17
Combined Tangency,Combined,Tangency,2023-12-01,OXY,9.720537856582875e-18
Combined Tangency,Combined,Tangency,2023-12-01,UPS,9.637634495990227e-18
Combined Tangency,Combined,Tangency,2023-12-01,DOW,7.625457579826108e-18
Combined Tangency,Combined,Tangency,2023-12-01,SBUX,6.73728781635323e-18
Combined Tangency,Combined,Tangency,2023-12-01,DIS,6.593292215319999e-18
Combined Tangency,Combined,Tangency,2023-12-01,WMT,5.524815870635444e-18
Combined Tangency,Combined,Tangency,2023-12-01,ABT,5.34571855225269e-18
Combined Tangency,Combined,Tangency,2023-12-01,TTWO,4.928978342203575e-18
Combined Tangency,Combined,Tangency,2023-12-01,XOM,2.5766619794401097e-18
Combined Tangency,Combined,Tangency,2023-12-01,NKE,2.481794289347628e-18
Combined Tangency,Combined,Tangency,2023-12-01,INTC,1.2130448025989615e-18
Combined Tangency,Combined,Tangency,2023-12-01,V,1.1553406939473945e-18
Combined Tangency,Combined,Tangency,2023-12-01,ADA-USD,0.0
Combined Tangency,Combined,Tangency,2023-12-01,ADBE,0.0
Combined Tangency,Combined,Tangency,2023-12-01,AMGN,0.0
Combined Tangency,Combined,Tangency,2023-12-01,AMT,0.0
Combined Tangency,Combined,Tangency,2023-12-01,BA,0.0
Combined Tangency,Combined,Tangency,2023-12-01,BCH-USD,0.0
Combined Tangency,Combined,Tangency,2023-12-01,CAT,0.0
Combined Tangency,Combined,Tangency,2023-12-01,CCI,0.0
Combined Tangency,Combined,Tangency,2023-12-01,COP,0.0
Combined Tangency,Combined,Tangency,2023-12-01,CVX,0.0
Combined Tangency,Combined,Tangency,2023-12-01,D,0.0
Combined Tangency,Combined,Tangency,2023-12-01,DD,0.0
Combined Tangency,Combined,Tangency,2023-12-01,EOS-USD,0.0
Combined Tangency,Combined,Tangency,2023-12-01,GE,0.0
Combined Tangency,Combined,Tangency,2023-12-01,GS,0.0
Combined Tangency,Combined,Tangency,2023-12-01,KO,0.0
Combined Tangency,Combined,Tangency,2023-12-01,LTC-USD,0.0
Combined Tangency,Combined,Tangency,2023-12-01,MMM,0.0
Combined Tangency,Combined,Tangency,2023-12-01,MRK,0.0
Combined Tangency,Combined,Tangency,2023-12-01,MS,0.0
Combined Tangency,Combined,Tangency,2023-12-01,NEE,0.0
Combined Tangency,Combined,Tangency,2023-12-01,NEM,0.0
Combined Tangency,Combined,Tangency,2023-12-01,O,0.0
Combined Tangency,Combined,Tangency,2023-12-01,PLD,0.0
Combined Tangency,Combined,Tangency,2023-12-01,PSA,0.0
Combined Tangency,Combined,Tangency,2023-12-01,QCOM,0.0
Combined Tangency,Combined,Tangency,2023-12-01,SHW,0.0
Combined Tangency,Combined,Tangency,2023-12-01,SLB,0.0
Combined Tangency,Combined,Tangency,2023-12-01,SO,0.0
Combined Tangency,Combined,Tangency,2023-12-01,T,0.0
Combined Tangency,Combined,Tangency,2023-12-01,USB,0.0
Combined Tangency,Combined,Tangency,2023-12-01,WFC,0.0
Combined Tangency,Combined,Tangency,2023-12-01,XLM-USD,0.0
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,ADA-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,BCH-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,BTC-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,EOS-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,ETC-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,ETH-USD,0.1
Crypto Equal Weight,Crypto,Equal Weight,2023-12-01,LTC-USD,0.1
